delinquency_score,recent_delinquency,payment_ratio,avg_payment,current_utilisation,max_utilisation,LIMIT_BAL,actual_default,predicted_default,predicted_pd,risk_segment,cli_decision,limit_change_pct,recommended_limit,upper_guardrail,lower_guardrail,guardrail_limit,final_recommended_limit,reason_codes
0,0,0.08681937505292574,1367.0,0.21508666666666668,0.21508666666666668,150000.0,0,0,0.13020778,Medium Risk,Maintain,0.0,150000.0,187500.0,120000.0,150000.0,150000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
2,0,0.6214348536248273,824.3333333333334,0.05618,0.0627,50000.0,0,1,0.6207421,High Risk,Decrease,-0.2,40000.0,62500.0,40000.0,40000.0,40000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
0,0,0.9963372560139894,7027.166666666667,0.0437625,0.07859375,160000.0,0,0,0.20272201,Medium Risk,Maintain,0.0,160000.0,200000.0,128000.0,160000.0,160000.0,"['delinquency_score', 'recent_delinquency', 'avg_payment']"
0,0,0.031897874221934755,3559.0,0.5155,0.5155,290000.0,0,0,0.14243041,Medium Risk,Maintain,0.0,290000.0,362500.0,232000.0,290000.0,290000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
8,1,0.029662692377881862,650.1666666666666,1.3144,1.3144,20000.0,1,1,0.9702575,High Risk,Decrease,-0.2,16000.0,25000.0,16000.0,16000.0,16000.0,"['delinquency_score', 'recent_delinquency', 'avg_payment']"
0,0,0.8281561698489597,484.3333333333333,0.006005,0.006005,200000.0,0,0,0.4287363,High Risk,Decrease,-0.2,160000.0,250000.0,160000.0,160000.0,160000.0,"['delinquency_score', 'avg_payment', 'current_utilisation']"
0,0,0.07335876330054207,1218.0,0.0566,0.0566,360000.0,0,0,0.15624626,Medium Risk,Maintain,0.0,360000.0,450000.0,288000.0,360000.0,360000.0,"['delinquency_score', 'LIMIT_BAL', 'recent_delinquency']"
0,0,0.8470300463655945,3866.8333333333335,0.03809,0.039805,200000.0,0,0,0.22396292,Medium Risk,Maintain,0.0,200000.0,250000.0,160000.0,200000.0,200000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
0,0,0.05883521034864259,345.6666666666667,0.83935,0.9232,20000.0,0,0,0.44620672,High Risk,Decrease,-0.2,16000.0,25000.0,16000.0,16000.0,16000.0,"['delinquency_score', 'LIMIT_BAL', 'avg_payment']"
0,0,0.10384525118272664,1401.1666666666667,0.05920740740740741,0.06161111111111111,270000.0,0,0,0.17209382,Medium Risk,Maintain,0.0,270000.0,337500.0,216000.0,270000.0,270000.0,"['delinquency_score', 'LIMIT_BAL', 'recent_delinquency']"
2,0,0.13937396494334858,1416.6666666666667,0.30555,0.6085,20000.0,0,1,0.5474707,High Risk,Decrease,-0.2,16000.0,25000.0,16000.0,16000.0,16000.0,"['LIMIT_BAL', 'recent_delinquency', 'delinquency_score']"
